/workspace/codes/build/src/model-net-fluid-flow-wan-random-traffic --sync=1 -- config.yaml 

Fri Jul 24 14:31:02 2026

ROSS Version: v8.1.0

tw_net_start: Found world size to be 1 
fluid-flow-wan config: workload=random-traffic switches=128 terminals=256 interval_seconds=10.000000 num_send_intervals=40 num_drain_intervals=20 backpressure_delay_ms=1.000000 flow_generation_every_n_intervals=4 random_flow_min_gbit=1000.000000 random_flow_max_gbit=4000.000000 output_data_unit=Gb buffer_mode=shared egress_model=statistical csv_logs=buffered-forward ross_message_size=32768 fluid_msg_size=30736

ROSS Core Configuration: 
	Total PEs                                                    1
	Total KPs                                          [Nodes (1) x KPs (16)] 16
	Total LPs                                                  384
	Simulation End Time                                31536000000000000.00
	LP-to-PE Mapping                                   model defined


ROSS Event Memory Allocation:
	Model events                                            393217
	Network events                                              16
	Total events                                            393232

*** START SEQUENTIAL SIMULATION ***

*** END SIMULATION ***

fluid-flow-wan gid=0 switch=0 name=S000 ports=9 shared_buffer_gbit=100.000000 received_fragments=7537 sent_fragments=7012 buffered_residual_gbit=3832.170960 sent_gbit=48255.481378 local_delivery_gbit=6672.314922 dropped_gbit=9505.710726 ready_queue_gbit=12.561942 shared_buffer_occupied_gbit=12.561942 pause_asserted=0 pause_updates_sent=62 pause_frames_sent=31 resume_frames_sent=31 pause_updates_received=24 pause_frames_received=12 resume_frames_received=12 total_pause_time_ms=133400.000000
fluid-flow-wan gid=11 switch=11 name=S095 ports=8 shared_buffer_gbit=100.000000 received_fragments=4706 sent_fragments=3757 buffered_residual_gbit=2993.523059 sent_gbit=34503.924894 local_delivery_gbit=6201.148241 dropped_gbit=6681.867689 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=54 pause_frames_sent=27 resume_frames_sent=27 pause_updates_received=24 pause_frames_received=12 resume_frames_received=12 total_pause_time_ms=133400.000000
fluid-flow-wan gid=12 switch=12 name=S098 ports=9 shared_buffer_gbit=100.000000 received_fragments=6704 sent_fragments=6632 buffered_residual_gbit=3426.472672 sent_gbit=61945.249495 local_delivery_gbit=6984.666594 dropped_gbit=15293.700004 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=66 pause_frames_sent=33 resume_frames_sent=33 pause_updates_received=80 pause_frames_received=40 resume_frames_received=40 total_pause_time_ms=398000.000000
fluid-flow-wan gid=13 switch=13 name=S119 ports=8 shared_buffer_gbit=100.000000 received_fragments=4985 sent_fragments=4531 buffered_residual_gbit=3214.971454 sent_gbit=42524.198902 local_delivery_gbit=8439.220793 dropped_gbit=9272.901864 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=58 pause_frames_sent=29 resume_frames_sent=29 pause_updates_received=14 pause_frames_received=7 resume_frames_received=7 total_pause_time_ms=86150.000000
fluid-flow-wan gid=14 switch=14 name=S004 ports=4 shared_buffer_gbit=100.000000 received_fragments=3255 sent_fragments=2973 buffered_residual_gbit=2134.485224 sent_gbit=24290.826388 local_delivery_gbit=9094.619574 dropped_gbit=4453.940561 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=30 pause_frames_sent=15 resume_frames_sent=15 pause_updates_received=32 pause_frames_received=16 resume_frames_received=16 total_pause_time_ms=201200.000000
fluid-flow-wan gid=15 switch=15 name=S006 ports=9 shared_buffer_gbit=100.000000 received_fragments=9481 sent_fragments=8061 buffered_residual_gbit=2642.372566 sent_gbit=69090.759825 local_delivery_gbit=7625.505839 dropped_gbit=9326.639472 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=42 pause_frames_sent=21 resume_frames_sent=21 pause_updates_received=78 pause_frames_received=39 resume_frames_received=39 total_pause_time_ms=378550.000000
fluid-flow-wan gid=16 switch=16 name=S091 ports=7 shared_buffer_gbit=100.000000 received_fragments=4707 sent_fragments=4352 buffered_residual_gbit=2887.819112 sent_gbit=49320.531539 local_delivery_gbit=6858.160030 dropped_gbit=10855.237601 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=52 pause_frames_sent=26 resume_frames_sent=26 pause_updates_received=40 pause_frames_received=20 resume_frames_received=20 total_pause_time_ms=339000.000000
fluid-flow-wan gid=17 switch=17 name=S123 ports=9 shared_buffer_gbit=100.000000 received_fragments=4091 sent_fragments=3726 buffered_residual_gbit=2456.685133 sent_gbit=38021.652720 local_delivery_gbit=12746.115736 dropped_gbit=7888.008733 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=38 pause_frames_sent=19 resume_frames_sent=19 pause_updates_received=24 pause_frames_received=12 resume_frames_received=12 total_pause_time_ms=223400.000000
fluid-flow-wan gid=18 switch=18 name=S124 ports=6 shared_buffer_gbit=100.000000 received_fragments=2715 sent_fragments=2767 buffered_residual_gbit=1583.928166 sent_gbit=30389.294681 local_delivery_gbit=8095.834627 dropped_gbit=6468.189978 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=22 pause_frames_sent=11 resume_frames_sent=11 pause_updates_received=18 pause_frames_received=9 resume_frames_received=9 total_pause_time_ms=135050.000000
fluid-flow-wan gid=19 switch=19 name=S005 ports=6 shared_buffer_gbit=100.000000 received_fragments=5168 sent_fragments=5802 buffered_residual_gbit=4388.020747 sent_gbit=43919.962639 local_delivery_gbit=6526.384130 dropped_gbit=14555.543721 ready_queue_gbit=76.418992 shared_buffer_occupied_gbit=76.418992 pause_asserted=0 pause_updates_sent=82 pause_frames_sent=41 resume_frames_sent=41 pause_updates_received=38 pause_frames_received=19 resume_frames_received=19 total_pause_time_ms=259550.000000
fluid-flow-wan gid=20 switch=20 name=S009 ports=7 shared_buffer_gbit=100.000000 received_fragments=6104 sent_fragments=5214 buffered_residual_gbit=3497.116963 sent_gbit=40514.506162 local_delivery_gbit=6721.478543 dropped_gbit=11346.124351 ready_queue_gbit=2.180996 shared_buffer_occupied_gbit=2.180996 pause_asserted=0 pause_updates_sent=60 pause_frames_sent=30 resume_frames_sent=30 pause_updates_received=20 pause_frames_received=10 resume_frames_received=10 total_pause_time_ms=134500.000000
fluid-flow-wan gid=21 switch=21 name=S016 ports=5 shared_buffer_gbit=100.000000 received_fragments=2765 sent_fragments=3169 buffered_residual_gbit=3354.565349 sent_gbit=29866.717606 local_delivery_gbit=11901.144877 dropped_gbit=7685.773179 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=60 pause_frames_sent=30 resume_frames_sent=30 pause_updates_received=16 pause_frames_received=8 resume_frames_received=8 total_pause_time_ms=95600.000000
fluid-flow-wan gid=22 switch=22 name=S007 ports=5 shared_buffer_gbit=100.000000 received_fragments=2636 sent_fragments=3150 buffered_residual_gbit=3442.918819 sent_gbit=28689.195243 local_delivery_gbit=10551.430855 dropped_gbit=4753.765375 ready_queue_gbit=50.066821 shared_buffer_occupied_gbit=50.066821 pause_asserted=0 pause_updates_sent=28 pause_frames_sent=14 resume_frames_sent=14 pause_updates_received=28 pause_frames_received=14 resume_frames_received=14 total_pause_time_ms=162300.000000
fluid-flow-wan gid=23 switch=23 name=S026 ports=7 shared_buffer_gbit=100.000000 received_fragments=5312 sent_fragments=4932 buffered_residual_gbit=4397.633633 sent_gbit=38852.383416 local_delivery_gbit=7032.298690 dropped_gbit=11273.991819 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=74 pause_frames_sent=37 resume_frames_sent=37 pause_updates_received=2 pause_frames_received=1 resume_frames_received=1 total_pause_time_ms=59450.000000
fluid-flow-wan gid=24 switch=24 name=S093 ports=6 shared_buffer_gbit=100.000000 received_fragments=3763 sent_fragments=4115 buffered_residual_gbit=3507.509582 sent_gbit=41115.285632 local_delivery_gbit=8338.469650 dropped_gbit=6894.047629 ready_queue_gbit=28.464956 shared_buffer_occupied_gbit=28.464956 pause_asserted=0 pause_updates_sent=46 pause_frames_sent=23 resume_frames_sent=23 pause_updates_received=20 pause_frames_received=10 resume_frames_received=10 total_pause_time_ms=94500.000000
fluid-flow-wan gid=25 switch=25 name=S117 ports=6 shared_buffer_gbit=100.000000 received_fragments=3944 sent_fragments=3774 buffered_residual_gbit=2463.590296 sent_gbit=32499.412011 local_delivery_gbit=5559.486692 dropped_gbit=7985.852193 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=40 pause_frames_sent=20 resume_frames_sent=20 pause_updates_received=16 pause_frames_received=8 resume_frames_received=8 total_pause_time_ms=135600.000000
fluid-flow-wan gid=26 switch=26 name=S122 ports=7 shared_buffer_gbit=100.000000 received_fragments=4222 sent_fragments=5239 buffered_residual_gbit=4822.219304 sent_gbit=47835.290608 local_delivery_gbit=9225.090767 dropped_gbit=9277.327718 ready_queue_gbit=7.766462 shared_buffer_occupied_gbit=7.766462 pause_asserted=0 pause_updates_sent=80 pause_frames_sent=40 resume_frames_sent=40 pause_updates_received=14 pause_frames_received=7 resume_frames_received=7 total_pause_time_ms=66150.000000
fluid-flow-wan gid=27 switch=27 name=S008 ports=4 shared_buffer_gbit=100.000000 received_fragments=1312 sent_fragments=1274 buffered_residual_gbit=671.692844 sent_gbit=17050.368182 local_delivery_gbit=4459.702966 dropped_gbit=3202.352603 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=10 pause_frames_sent=5 resume_frames_sent=5 pause_updates_received=32 pause_frames_received=16 resume_frames_received=16 total_pause_time_ms=181200.000000
fluid-flow-wan gid=28 switch=28 name=S068 ports=5 shared_buffer_gbit=100.000000 received_fragments=3178 sent_fragments=3327 buffered_residual_gbit=3231.242248 sent_gbit=35783.500529 local_delivery_gbit=8026.110029 dropped_gbit=8698.630967 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=58 pause_frames_sent=29 resume_frames_sent=29 pause_updates_received=48 pause_frames_received=24 resume_frames_received=24 total_pause_time_ms=256800.000000
fluid-flow-wan gid=29 switch=29 name=S010 ports=4 shared_buffer_gbit=100.000000 received_fragments=3400 sent_fragments=3150 buffered_residual_gbit=2801.862309 sent_gbit=25082.100059 local_delivery_gbit=7612.980878 dropped_gbit=4794.942309 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=44 pause_frames_sent=22 resume_frames_sent=22 pause_updates_received=14 pause_frames_received=7 resume_frames_received=7 total_pause_time_ms=96150.000000
fluid-flow-wan gid=30 switch=30 name=S036 ports=7 shared_buffer_gbit=100.000000 received_fragments=7164 sent_fragments=7335 buffered_residual_gbit=4051.632394 sent_gbit=50592.192906 local_delivery_gbit=7003.852707 dropped_gbit=15886.163351 ready_queue_gbit=73.895439 shared_buffer_occupied_gbit=73.895439 pause_asserted=0 pause_updates_sent=64 pause_frames_sent=32 resume_frames_sent=32 pause_updates_received=64 pause_frames_received=32 resume_frames_received=32 total_pause_time_ms=352400.000000
fluid-flow-wan gid=31 switch=31 name=S042 ports=6 shared_buffer_gbit=100.000000 received_fragments=2552 sent_fragments=2365 buffered_residual_gbit=699.032674 sent_gbit=26922.543165 local_delivery_gbit=4244.789296 dropped_gbit=4275.725964 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=14 pause_frames_sent=7 resume_frames_sent=7 pause_updates_received=28 pause_frames_received=14 resume_frames_received=14 total_pause_time_ms=202300.000000
fluid-flow-wan gid=32 switch=32 name=S011 ports=7 shared_buffer_gbit=100.000000 received_fragments=7367 sent_fragments=7548 buffered_residual_gbit=4664.314307 sent_gbit=56123.462973 local_delivery_gbit=12193.405520 dropped_gbit=12696.321997 ready_queue_gbit=99.295374 shared_buffer_occupied_gbit=99.295374 pause_asserted=1 pause_updates_sent=91 pause_frames_sent=46 resume_frames_sent=45 pause_updates_received=48 pause_frames_received=24 resume_frames_received=24 total_pause_time_ms=366800.000000
fluid-flow-wan gid=33 switch=33 name=S012 ports=5 shared_buffer_gbit=100.000000 received_fragments=6093 sent_fragments=4387 buffered_residual_gbit=1843.857072 sent_gbit=37376.796332 local_delivery_gbit=6452.668553 dropped_gbit=8225.701878 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=34 pause_frames_sent=17 resume_frames_sent=17 pause_updates_received=22 pause_frames_received=11 resume_frames_received=11 total_pause_time_ms=263950.000000
fluid-flow-wan gid=34 switch=34 name=S031 ports=7 shared_buffer_gbit=100.000000 received_fragments=3416 sent_fragments=3789 buffered_residual_gbit=4100.273081 sent_gbit=36021.105988 local_delivery_gbit=8101.691338 dropped_gbit=8974.691170 ready_queue_gbit=1.361107 shared_buffer_occupied_gbit=1.361107 pause_asserted=0 pause_updates_sent=70 pause_frames_sent=35 resume_frames_sent=35 pause_updates_received=22 pause_frames_received=11 resume_frames_received=11 total_pause_time_ms=143950.000000
fluid-flow-wan gid=35 switch=35 name=S080 ports=6 shared_buffer_gbit=100.000000 received_fragments=2762 sent_fragments=2725 buffered_residual_gbit=2107.016261 sent_gbit=30486.926855 local_delivery_gbit=8265.454034 dropped_gbit=8024.635650 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=34 pause_frames_sent=17 resume_frames_sent=17 pause_updates_received=51 pause_frames_received=26 resume_frames_received=25 total_pause_time_ms=265848.000000
fluid-flow-wan gid=36 switch=36 name=S114 ports=6 shared_buffer_gbit=100.000000 received_fragments=3156 sent_fragments=3890 buffered_residual_gbit=3507.881384 sent_gbit=33507.312742 local_delivery_gbit=8340.810541 dropped_gbit=7621.315459 ready_queue_gbit=18.021931 shared_buffer_occupied_gbit=18.021931 pause_asserted=0 pause_updates_sent=46 pause_frames_sent=23 resume_frames_sent=23 pause_updates_received=12 pause_frames_received=6 resume_frames_received=6 total_pause_time_ms=126700.000000
fluid-flow-wan gid=37 switch=37 name=S013 ports=6 shared_buffer_gbit=100.000000 received_fragments=2884 sent_fragments=2668 buffered_residual_gbit=953.741338 sent_gbit=30329.379919 local_delivery_gbit=4693.539378 dropped_gbit=5337.267073 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=18 pause_frames_sent=9 resume_frames_sent=9 pause_updates_received=18 pause_frames_received=9 resume_frames_received=9 total_pause_time_ms=155050.000000
fluid-flow-wan gid=38 switch=38 name=S014 ports=5 shared_buffer_gbit=100.000000 received_fragments=3319 sent_fragments=3471 buffered_residual_gbit=1954.509147 sent_gbit=30654.477734 local_delivery_gbit=8385.405955 dropped_gbit=6187.242206 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=32 pause_frames_sent=16 resume_frames_sent=16 pause_updates_received=28 pause_frames_received=14 resume_frames_received=14 total_pause_time_ms=142300.000000
fluid-flow-wan gid=39 switch=39 name=S047 ports=6 shared_buffer_gbit=100.000000 received_fragments=3225 sent_fragments=3186 buffered_residual_gbit=1052.021962 sent_gbit=35452.379016 local_delivery_gbit=6865.158028 dropped_gbit=5475.038052 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=12 pause_frames_sent=6 resume_frames_sent=6 pause_updates_received=34 pause_frames_received=17 resume_frames_received=17 total_pause_time_ms=160650.000000
fluid-flow-wan gid=40 switch=40 name=S073 ports=6 shared_buffer_gbit=100.000000 received_fragments=3309 sent_fragments=3172 buffered_residual_gbit=2607.304464 sent_gbit=37402.385899 local_delivery_gbit=6692.014499 dropped_gbit=6658.290749 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=36 pause_frames_sent=18 resume_frames_sent=18 pause_updates_received=6 pause_frames_received=3 resume_frames_received=3 total_pause_time_ms=68350.000000
fluid-flow-wan gid=41 switch=41 name=S015 ports=6 shared_buffer_gbit=100.000000 received_fragments=3313 sent_fragments=2826 buffered_residual_gbit=755.888304 sent_gbit=29578.275959 local_delivery_gbit=5931.556385 dropped_gbit=4675.484468 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=12 pause_frames_sent=6 resume_frames_sent=6 pause_updates_received=77 pause_frames_received=39 resume_frames_received=38 total_pause_time_ms=428698.000000
fluid-flow-wan gid=42 switch=42 name=S032 ports=6 shared_buffer_gbit=100.000000 received_fragments=3857 sent_fragments=4314 buffered_residual_gbit=3974.597757 sent_gbit=41927.027449 local_delivery_gbit=6624.574917 dropped_gbit=7957.352010 ready_queue_gbit=40.876382 shared_buffer_occupied_gbit=40.876382 pause_asserted=0 pause_updates_sent=58 pause_frames_sent=29 resume_frames_sent=29 pause_updates_received=52 pause_frames_received=26 resume_frames_received=26 total_pause_time_ms=255700.000000
fluid-flow-wan gid=43 switch=43 name=S066 ports=5 shared_buffer_gbit=100.000000 received_fragments=2664 sent_fragments=3564 buffered_residual_gbit=4889.221194 sent_gbit=31623.469703 local_delivery_gbit=7724.360101 dropped_gbit=8627.837647 ready_queue_gbit=93.040343 shared_buffer_occupied_gbit=93.040343 pause_asserted=1 pause_updates_sent=97 pause_frames_sent=49 resume_frames_sent=48 pause_updates_received=16 pause_frames_received=8 resume_frames_received=8 total_pause_time_ms=125600.000000
fluid-flow-wan gid=44 switch=44 name=S017 ports=4 shared_buffer_gbit=100.000000 received_fragments=2478 sent_fragments=2615 buffered_residual_gbit=2022.593579 sent_gbit=29891.380055 local_delivery_gbit=7485.249915 dropped_gbit=5302.643777 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=28 pause_frames_sent=14 resume_frames_sent=14 pause_updates_received=54 pause_frames_received=27 resume_frames_received=27 total_pause_time_ms=275150.000000
fluid-flow-wan gid=45 switch=45 name=S018 ports=6 shared_buffer_gbit=100.000000 received_fragments=4832 sent_fragments=5633 buffered_residual_gbit=5363.190587 sent_gbit=43780.737866 local_delivery_gbit=7297.753912 dropped_gbit=11998.711131 ready_queue_gbit=100.000000 shared_buffer_occupied_gbit=100.000000 pause_asserted=1 pause_updates_sent=111 pause_frames_sent=56 resume_frames_sent=55 pause_updates_received=28 pause_frames_received=14 resume_frames_received=14 total_pause_time_ms=202300.000000
fluid-flow-wan gid=46 switch=46 name=S019 ports=6 shared_buffer_gbit=100.000000 received_fragments=2995 sent_fragments=2851 buffered_residual_gbit=2350.393316 sent_gbit=37785.066105 local_delivery_gbit=7328.356930 dropped_gbit=7850.707802 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=44 pause_frames_sent=22 resume_frames_sent=22 pause_updates_received=38 pause_frames_received=19 resume_frames_received=19 total_pause_time_ms=259550.000000
fluid-flow-wan gid=47 switch=47 name=S023 ports=6 shared_buffer_gbit=100.000000 received_fragments=3669 sent_fragments=3644 buffered_residual_gbit=2151.697679 sent_gbit=48404.508017 local_delivery_gbit=9098.483766 dropped_gbit=7896.770809 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=46 pause_frames_sent=23 resume_frames_sent=23 pause_updates_received=140 pause_frames_received=71 resume_frames_received=69 total_pause_time_ms=731246.000000
fluid-flow-wan gid=48 switch=48 name=S090 ports=9 shared_buffer_gbit=100.000000 received_fragments=8475 sent_fragments=6585 buffered_residual_gbit=1993.448842 sent_gbit=51347.672135 local_delivery_gbit=7904.196246 dropped_gbit=9850.776767 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=20 pause_frames_sent=10 resume_frames_sent=10 pause_updates_received=20 pause_frames_received=10 resume_frames_received=10 total_pause_time_ms=154500.000000
fluid-flow-wan gid=49 switch=49 name=S020 ports=5 shared_buffer_gbit=100.000000 received_fragments=2944 sent_fragments=2670 buffered_residual_gbit=1310.303451 sent_gbit=32894.169706 local_delivery_gbit=9840.239197 dropped_gbit=5289.610237 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=22 pause_frames_sent=11 resume_frames_sent=11 pause_updates_received=12 pause_frames_received=6 resume_frames_received=6 total_pause_time_ms=56700.000000
fluid-flow-wan gid=50 switch=50 name=S027 ports=6 shared_buffer_gbit=100.000000 received_fragments=3641 sent_fragments=3207 buffered_residual_gbit=1876.245186 sent_gbit=35269.750526 local_delivery_gbit=3576.309788 dropped_gbit=6215.059838 ready_queue_gbit=0.000000 shared_buffer_occupied_gbit=0.000000 pause_asserted=0 pause_updates_sent=30 pause_frames_sent=15 resume_frames_sent=15 pause_updates_received=30 pause_frames_received=15 resume_frames_received=15 total_pause_time_ms=211750.000000
